label,judul_voy,narasi_voy
1,pakai masker sebab sakit legionnaires,caller to radio talk show recently shared that his istri was hospitalized told she had covid only couple of days left to live doctor friend suggested she be tested for legionnaires disease she wore the mask every day all day long turns out it was legionnaires disease from the moisture bacteria in her mask she was given antibiotics within days was better if these spikes in covid are really something else due to mask induced infections
1,instruksi gubernur jawa tilang masker muka rupiah tilang via apps pikobar,hormat anggota grup sesuai instruksi gubernur jawa hasil rapat tim gugus tugas covid jawa
1,foto jim rohn jokowi presiden baik sejarah bangsa indonesia,jokowi presiden baik sejarah bangsa indonesia jim rohn motivator baik dunia
1,politik nyata jokowi hasil pulang triliun uang negara swiss,maaf mas mas mbak mbak politik nyata jokowi hasil pulang triliun uang negara swiss triliun bawa indonesia rancang undang undang treaty on mutual legal assistance in criminal matters between the republik of indonesia and the swiss confederation mla ri swiss resmi sah dewan wakil rakyat ri tanggal juli proses konstitusi tarik dana swiss selesai juang hadap ex koruptor bersenggama agama terima kasih kadrun nyinyirian uang triliun indonesia nyinyir sulit rancang undang undang sah dewan wakil rakyat milik rekening gendut gigit jari tekan jokowi kencang baca berita
1,foto kadrun lihat foto panas dingin,kadrun lihat foto panas dingin
1,event promo smartphone jne spesial juni,selamat siang teman teman facebook ku informasi rezeky mana ya kemarin ikut event promo smartphone jne spesial juni mesan smartphone vivo pro harga rupiah sangka harga rupiah handphone vivo pro teman teman facebook ku penasaran ikut inbox wa adminnya
1,kuasa negeri,lihat kuasa negeri
1,foto presiden italia menang lahan kubur korban corona,italia fasilitas awat sehat canggih gagal kendali corona anggap lelucon presiden menang lahan kubur korban corona
1,kepala polisi resor timor utara nusa tenggara timur klarifikasi kait video polisi diam korban celaka,polisi goblok buka cepat tolongin liat
1,video polisi cina aniaya wanita uighur leher cekik pakai kaki,polisi cina aniaya wanita uighur leher cekik pakai kaki melek bilang aniaya ham diam ribu bahasa polisi lihat gilir orang biadab
1,jokowi sedia undur,jokowi sedia undur gue nih
1,info jalur rawan begal himbauan malam kepala polisi resor cianjur,begal rambat wilayah cianjur wilayah rewan begal harap waspada penuh malam jalur gekbrong arah sukabmi cibeber arah campaka cilaku
1,direktur utama pt agung podomoro land cosmas batubara tinggal dunia,duka cita tinggal juang angkat cosmas batubara sabtu juli indonesia barat moga maha kuasa ampun dosa layak sisi nya amin
1,susilo bambang yudhoyono telepon moeldoko suruh jokowi aku kalah,bantu sebar ya susilo bambang yudhoyono telepon moeldoko suruh jokowi aku kalah info jenderal gusar panik ya juang juang info valid
1,foto anak rohingya siksa komunis,rela anak cucu anak anak rohingya komunis kuasa
1,orang cina kartu tanda duduk cilacap nama karsono,jadi usaha listrik negara pltu cilacap bunton adipala orang cina bahasa indonesia bahasa jawa banyumasan kartu tanda duduk cilacap nama karsono payah kie camat bupatine
1,fadli zon warga indonesia pilih prabowo pilih presiden usir indonesia,fadli zon warga indonesia pilih prabowo pilih presiden km usir indonesia serius sih apes
1,pesan beranta undi hadiah menteri tenaga kerja kerja migran indonesia hongkong,informasi resmi depnaker republik indonesia selamat pilih harga departemen tenaga kerja indonesia pahlawan devisa negara baik kode registrasi hubung call office haryono kunjung alamat website penerimah pemberitahuan telephone sms whatsapp resmi harga undi harga depnaker bebas biaya sertifikat bebas pajak perintah republik indonesia urus harga awas polisi negara republik indonesia dumaksudkan hindar negatif ingat hati hati tipu urus biaya oknum oknum bertanggunh tahu depnaker ri kirim depnaker ri
1,indonesia penuh partai komunis indonesia,hahhahhahahhaha indonesia penuh partai komunis indonesia gimanah nih kowi
1,demo konflik ojek online angkut bandung,prediksi besok bandung kota besok sinyalir kubu demo an ojek online gabung kumpul tggung kubu angkut kota gabung jalan bakar grab ojek tabrak sengaja mati buah batu grab mati tabrak angkut kota karapitan grab gebuk angkut kota ojek online hilang kabar
1,hati hati panggil telepon nomor kenal,hati hati panggil telepon nomor kenal
1,larang anti minum keras minimarket tiada rezim jokowi paska gobel,april menteri dagang rachmat gobel laku bijak larang jual minum alkohol alias minum keras minimarket indonesia larang tuang atur menteri dagang permendag nomor dag kendali awas ada edar jual minum alkohol ubah
1,corona hoaks,corona is hoaks
1,kapal kargo angkut kadrun tenggelam laut cina selatan,kapal kargo indonesia tuju cina lapor tenggelam laut cina selatan sabtu malam akibat bocor lambung kapal kapal angkut kadrun tuju cina tuju objek coba vaksin covid mana harga monyet cina mahal harga kadrun kali murah harga monyet lidi otoritas tiongkok celaka fatal
1,foto gubernur anies makan kumpul orang jawa tulen,kumpul orang jawa tulen santap kuliner khas jawa nasi samin kebab buaya panggang minum pipis onta segar cakap pakai bahasa jawa halus alias kromo inggil saudara afwan hem sungguh kagum nb seng wani protes partai komunis indonesia bong
1,mulan jameela undur dewan wakil rakyat ri,mundur hormat pecat hayo monggo undur sanggup becus kerja
1,video fkppi bandung kumpul monas siaga rancang undang undang hip syah dewan wakil rakyat,fkppi bandung kumpul monas siaga rancang undang undang hip syah dewan wakil rakyat revolusi jihad mati syahid hidup mulia bela negara ancam komunisme
1,bantu positif corona jaring,bantu orang tes positif corona
1,foto sudjiatmi siksa alam barzakh,sudjiatmi siksa alam barzakh hj sudjiatmi presiden jokowi siksa alam kubur sadis brutal kejam ampun tanggal april jenazah sudjiatmi semayam alam kubur anjak makam beliau presiden joko widodo
1,damai corona jokowi perintah kalah serah,astagfirullah kemarin lawan virus corona ayo damai virus corona perintah kalah kibar bendera putih tanda serah
1,terima stiker pesan whatsapp kena biaya,tahu teman teman ku grup stiker untung buat nya stiker gambar saudara krmkan wa bayar beban terima rupiah
1,foto mahfud md aku ashraf nikah bcl,aku ashraf pria nikah bcl
1,culik umur anak jadi angkut kota lebak bulus parung ibunda sih bayi hipnotis,culik keponakan yulianah umur anak jenis kelamin perempuan jadi angkut kota lebak bulus parung ibunda sih bayi hipnotis angkut kota turun pondok cabe laku culi jadi sabtu jam
1,virus corona apartemen taman anggrek,info client virus corona apartement ta orang wuhan kena manajemen mal operasi rugi barusan banget info client suami orang cina komunitas orang cina indonesia kasih tau jauh apartement ta
1,presiden cina xi jinping unjung masjid umat islam doa negeri landa krisis,presiden cina xi jinping unjung masjid umat islam doa negara landa krisis butuh bantu
1,pesan beranta biaya tilang,biaya tilang baru indonesia kepala polisi republik indonesia mantap stnk rupiah bawa sim rupiah pakai helm rupiah
1,video jokowi pucat susilo bambang yudhoyono laku korupsi,jokowi susilo bambang yudhoyono jiwasraya duga orang heboh
1,all jakarta water park,kenal all jakarta water park
1,ganti kartu keluarga warga daerah khusus ibukota jakarta,dinas dukcapil jakarta wajib warga jakarta ganti kakak tenggat imbau mutakhir data dorong perintah input data status nikah golong darah susun anggota keluarga
1,usus ibu makan bayi,bayi perut ibu habis usus ibu makan bayi dokter mengoprasi ibu keluar bayi bayi gigit tangan awat jam sih awat tinggal bayi tinggal bayi bayi lahir berat kg jam tambah berat kg bayi lahir jumat allah kasih ingat bayi nih bunuh dokter beri suntik mati kali bayi mati kisah india wallahu salam
1,foto awan keri jepang,ngeri sih moga teman teman selamat amin yrb pray for japan
1,narasi presiden korea utara hukum jabat korupsi,presiden korea utara hukum jabat libat korupsi hadap awak media cetak elektronik berrjalan gandeng tangan plung bawah kandang buaya
1,almarhum habibie formasi jas merah mob umm,formasi merah putih kh ahmad dahlan logo umm students today pimpin tomorrow peta indonesia pray for lombok
1,tugas tewas setrum baik listrik,camat pedurungan
1,televisi negeri berita prabowo the next presiden,televisi negeri berita prabowo the next presiden
1,ketua komisi pemelihan umrah bareng jokowi,aneh jelang pilih bisa ketua komisi pemelihan umrah bareng jokowi komisi pemelihan kpln langgar
1,tiket promo kereta api ulang badan usaha milik negara,jalan jalan kereta yuk hayo jalan jalan tiket kakak promo
1,simulasi orang gila bawa mungut suara pilih,simulasi orang gila bawa mungut suara pilih dunia
1,broadcast whatsapp info tes seleksi gtt ptt,tabe keluargata guru info
1,puan maharani buka posko logistik reuni,info alumni harap hindar posko monas posko milik puan maharani istiqlal sebar jama ah tau
1,terbang pesawat hercules gratis palu keluarga korban gempa tsunami,jadwal hercules malam jam subuh besok lanud makassar
1,capt pribadi kemudi pesawat mengijinkan hj neno warisman,capt pribadi kemudi pesawat mengijinkan hj neno warisman sang dedengkot gera makar ganti khilafah sistem keras suara pesawat
1,alquran klaim al alquran palsu edar,alquran an palsu karang orang kafir
1,yel yel kecebong rencana susup car free day,sebarin deh video nih lihat yel yel kecebong rencana susup car free day hancur tagar ganti presiden cc allah balas tipu daya
1,kecam nyata said aqil neno warisman terima,kecam nyata said aqil neno warisman terima nyata kontroversial ketua urus nahdlatul ulama said aqil siradj tonton film porno dengar ceramah radikal istighfar kecam giat didik anak neno warisman tulis marah tulis
1,rang allah of kung fu,nama hasil translate otomatis google game asli judul galaxy fighting god of kung fu
1,permen susu kandung narkoba,asalamualaikum alaikum informasi teman dokter anak bidan banyumas makan permen susu makan ngefly saran teman dokter purbalingga bawa permen badan narkotika nasional hasil positif kandung narkoba jenis benzodiazepin
1,konser anies sandi no menang telak,gue menang telak
1,poster aksi damai bela islam cantum nama foto gatot nurmantyo,edar poster aksi damai bela islam viral media sosial poster nama foto panglima tentara nasional indonesia jenderal gatot nurmantyo
1,nyata danjen kopassus dukung front bela islam,tentara nasional indonesia waras kecuali wereng coklat ya sih sejarah buruk ulang seram banget danjen kopassus front bela islam organisasi masyarakat besar suka bantu berantas kemahsiatan bubar organisasi masyarakat preman suka beking kemahsiatan suka bikin resah masyarakat
1,gambar salib barang bantu bencana,hati hati teliti terima bentuk bantu korban gempa gambar salib handuk bantu edar
1,aksi harga rekor dunia,sebar gambar piagam aksi harga rekor dunia
1,foto petinggi polisi izin demo neo partai komunis indonesia,demo neo partai komunis indonesia izin buntel kentut maaf ralat petinggi polisi tinggal tunggu gendering perang tabuh
1,tulis ria pancasila mu abdul muti med,ria pancasila mu abdul mu ti med sekum pp muhamadyah
1,tugas rapid tes jarang ganti sarung tangan tular covid pasien,panjenengan jebak operasi rapid tes dada ujug ujug tugas harus ikut rapid tes perhati sarung tangan petugs sarung tangan pakai pakai ganti ganti mana tugas pegang orang oasien rapid tes ganti sarung tangan tugas pegang panjenengan letak rawan tular virus nya tau tugas tau orang pegang orang positif reaktif negatif tular tempat rapid tes massal
1,video dokter bule,nih dokter bule bicara data lengkap detail inti covid mati sembuh tinggal sakit masuk daftar covid kira sih lockdown psbb timbul dampak buruk banding covid
1,vietnam korban tinggal covid teh lemon,kabar gembira istimewa vietnam korban covid mati berita super obat virus covid capai informasi negara vietnam virus covid sebab mati resep sederhana ampuh teh lemon minum teh panas campur peras lemon bunuh virus covid sepenuh hilang virus covid tubuh bahan sistem kebal tubuh sifat basa malam sistem tubuh asam mampu detensif kurang orang vietnam santai sebar virus covid vietnam orang minum gelas air panas lemon malam bukti bunuh virus covid total bagi resep sakti buru pahala resep sederhana efektif infeksi virus covid izin tuhan maha esa selamat coba
1,ratus warga cina tetap indonesia singapura virus corona,ratus warga cina tetap indonesia pagi tinggal indonesia singapura situasi virus corona serang indonesia situasi indonesia normal
1,orang infeksi virus corona parepare,orang infeksi virus corona parepare waspada ki main main
1,the simpsons prediksi corona virus cina,remeh the simpsons the simpsons corona virus cina
1,bakar al alquran jari tangan pria hitam busuk keluar bau jijik,azab pedih timpa warga negara amerika robek robek bakar al qur an kena sakit misteri jari tangan lepuh busuk hitam luka timbul aroma sedap
1,marak lowong kerja mengatasnamakan usaha pt inalum masyarakat waspada,manajer humas pt inalum bambang heru prayoga informasi sebut hoaks tipu harap masyarakat kena tipu rekrutmen nama inalum
1,cepat cek jantung air es batu,sehat jantung tes sederhana deteksi sehat jantung jaga jantung fungsi hidup sehat jangka
1,presiden jokowi leceh bendera merah putih,coba dilhat leceh bendara indonesia tahan polisi daerah metro pegang bendara merah putih tangan mohon kuat hukum advokat acara tolong didampingin anak stm kasihan bela
1,sunting video merry riana indonesia bubar,viral indonesia bubar video merry riana asli tonton habis
1,bau jawa jayapura hancur,video jayapura bandara kawal marinir evakuasi bau jawa hancur
1,am hendro priyono tinggal singapura,mati bantai rakyat hendroprayono singapura ucap tinggal bantai manusia
1,bahaya semut kutu jepang diabetes,info bahaya semut kutu jepang diabetes sahabat magelang idap diabetes kmd konsumsi semut kutu jepang obat diabetes semut keluar insulin konsumsi semut kutu jepang usus kena bakteri rusak potong usus
1,cnn indonesia berita judul sertifikat ganda kerja rezim jokowi,cnn indonesia sertifikat ganda kerja rezim jokowi november
1,paham politik sih,aduh lemah jokowi paham bikin kampret bodoh paham politik sih
